SYMBOL,NAME,Capitalization,High 52 Weeks,Low 52 Weeks,Sector,Index
LIN,Linde PLC,215.462B,350.60,477.71,Basic Materials,Nasdaq 100
AZN,AstraZeneca PLC,213.713B,60.47,76.56,Healthcare,Nasdaq 100
BKR,Baker Hughes Co,33.199B,26.81,37.58,Energy,Nasdaq 100
AVGO,Broadcom Inc,622.87B,601.29,"1,438.17",Technology,Nasdaq 100
BIIB,Biogen Inc,28.808B,197.78,319.76,Healthcare,Nasdaq 100
BKNG,Booking Holdings Inc,120.685B,"2,456.93","3,918.00",Consumer Cyclical,Nasdaq 100
CDNS,Cadence Design Systems Inc,83.375B,194.01,327.36,Technology,Nasdaq 100
ADBE,Adobe Inc.,212.392B,331.89,638.25,Technology,Nasdaq 100
CHTR,Charter Communications Inc,37.613B,258.56,458.30,Communication Services,Nasdaq 100
CPRT,Copart Inc,53.246B,38.35,58.58,Industrials,Nasdaq 100
CSGP,CoStar Group Inc,36.896B,67.35,100.38,Real Estate,Nasdaq 100
CRWD,CrowdStrike Holdings Inc,74.75B,115.67,365.00,Technology,Nasdaq 100
CTAS,Cintas Corp,67.819B,438.59,704.84,Industrials,Nasdaq 100
CSCO,Cisco Systems Inc,196.345B,45.56,58.19,Technology,Nasdaq 100
CMCSA,Comcast Corp,156.372B,36.39,47.46,Communication Services,Nasdaq 100
COST,Costco Wholesale Corp,324.339B,476.75,787.08,Consumer Defensive,Nasdaq 100
CSX,CSX Corp,69.181B,29.03,40.12,Industrials,Nasdaq 100
CTSH,Cognizant Technology Solutions Corp,34.481B,58.09,80.09,Technology,Nasdaq 100
DDOG,Datadog Inc,42.317B,62.60,138.61,Technology,Nasdaq 100
DXCM,Dexcom Inc,52.484B,74.75,142.00,Healthcare,Nasdaq 100
FANG,Diamondback Energy Inc,36.799B,123.41,211.96,Energy,Nasdaq 100
DLTR,Dollar Tree Inc,27.289B,102.77,161.10,Consumer Defensive,Nasdaq 100
