SYMBOL,NAME,SECTOR,Capitalization,High 52 Weeks,Low 52 Weeks,Index
MMM,3M Co.,Industrials,50.527B,71.36,95.67,Nasdaq 100
ACE,ACE Limited,Financials,,,,Nasdaq 100
ABT,Abbott Laboratories,Health Care,189.325B,89.67,121.64,Nasdaq 100
ANF,Abercrombie & Fitch Company A,Consumer Discretionary,5.706B,21.74,140.28,Nasdaq 100
ACN,Accenture,Information Technology,198.301B,261.68,387.51,Nasdaq 100
ADBE,Adobe Systems Inc,Information Technology,212.392B,331.89,638.25,Nasdaq 100
AMD,Advanced Micro Devices,Information Technology,263.883B,81.02,227.30,Nasdaq 100
AES,AES Corp,Utilities,11.977B,11.43,24.60,Nasdaq 100
AET,Aetna Inc,Health Care,,,,Nasdaq 100
AFL,AFLAC Inc,Financials,46.194B,64.10,86.26,Nasdaq 100
A,Agilent Technologies Inc,Health Care,41.242B,96.80,151.58,Nasdaq 100
GAS,AGL Resources Inc.,Utilities,,,,Nasdaq 100
APD,Air Products & Chemicals Inc,Materials,51.469B,212.24,307.71,Nasdaq 100
ARG,Airgas Inc,Materials,,,,Nasdaq 100
AKAM,Akamai Technologies Inc,Information Technology,15.853B,76.85,129.17,Nasdaq 100
AA,Alcoa Inc,Materials,6.32B,23.07,42.23,Nasdaq 100
ALXN,Alexion Pharmaceuticals,Health Care,,,,Nasdaq 100
ATI,Allegheny Technologies Inc,Materials,6.384B,34.10,52.48,Nasdaq 100
AGN,Allergan Inc,Health Care,,,,Nasdaq 100
ALL,Allstate Corp,Financials,43.998B,100.57,174.57,Nasdaq 100
ANR,Alpha Natural Resources,Energy,,,,Nasdaq 100
ALTR,Altera Corp,Information Technology,6.817B,57.59,92.92,Nasdaq 100
MO,Altria Group Inc,Consumer Staples,70.509B,39.07,48.04,Nasdaq 100
AMZN,Amazon.com Inc,Consumer Discretionary,1.936T,101.15,189.77,Nasdaq 100
AEE,Ameren Corp,Utilities,19.125B,67.03,91.18,Nasdaq 100
AEP,American Electric Power,Utilities,43.233B,69.38,94.73,Nasdaq 100
AXP,American Express Co,Financials,157.113B,140.91,231.69,Nasdaq 100
AIG,American Intl Group Inc,Financials,50.315B,48.95,78.95,Nasdaq 100
AMT,American Tower Corp A,Financials,83.68B,154.58,219.10,Nasdaq 100
AMP,Ameriprise Financial,Financials,,,,Nasdaq 100
ABC,AmerisourceBergen Corp,Health Care,,,,Nasdaq 100
AMGN,Amgen Inc,Health Care,143.24B,211.71,329.72,Nasdaq 100
APH,Amphenol Corp A,Industrials,68.17B,72.00,119.59,Nasdaq 100
APC,Anadarko Petroleum Corp,Energy,,,,Nasdaq 100
ADI,Analog Devices Inc,Information Technology,95.348B,154.99,204.20,Nasdaq 100
AON,Aon plc,Financials,61.076B,284.85,347.37,Nasdaq 100
APA,Apache Corporation,Energy,12.529B,29.47,46.15,Nasdaq 100
AIV,Apartment Investment & Mgmt,Financials,1.174B,5.63,8.93,Nasdaq 100
APOL,Apollo Group Inc,Consumer Discretionary,,,,Nasdaq 100
AAPL,Apple Inc.,Information Technology,2.726T,162.80,199.62,Nasdaq 100
AMAT,Applied Materials Inc,Information Technology,172.71B,109.00,214.91,Nasdaq 100
ADM,Archer-Daniels-Midland Co,Consumer Staples,30.593B,50.72,87.30,Nasdaq 100
AIZ,Assurant Inc,Financials,9.067B,115.41,189.48,Nasdaq 100
T,AT&T Inc,Telecommunications Services,116.999B,13.43,19.92,Nasdaq 100
ADSK,Autodesk Inc,Information Technology,50.694B,188.38,279.53,Nasdaq 100
ADP,Automatic Data Processing,Information Technology,100.171B,201.46,256.84,Nasdaq 100
AN,AutoNation Inc,Consumer Discretionary,6.424B,123.81,182.08,Nasdaq 100
AZO,AutoZone Inc,Consumer Discretionary,51.257B,"2,277.88","3,256.37",Nasdaq 100
AVB,"AvalonBay Communities, Inc.",Financials,26.131B,160.45,198.66,Nasdaq 100
AVY,Avery Dennison Corp,Industrials,17.008B,158.93,225.26,Nasdaq 100
AVP,Avon Products,Consumer Staples,,,,Nasdaq 100
BHI,Baker Hughes Inc,Energy,,,,Nasdaq 100
BLL,Ball Corp,Materials,,,,Nasdaq 100
BAC,Bank of America Corp,Financials,282.406B,24.96,38.35,Nasdaq 100
BK,The Bank of New York Mellon Corp.,Financials,41.446B,39.65,58.28,Nasdaq 100
BCR,Bard (C.R.) Inc.,Health Care,,,,Nasdaq 100
BAX,Baxter International Inc.,Health Care,20.542B,31.01,50.21,Nasdaq 100
BBT,BB&T Corporation,Financials,,,,Nasdaq 100
BEAM,Beam Inc.,Consumer Discretionary,2.117B,16.95,49.50,Nasdaq 100
BDX,Becton Dickinson,Health Care,67.941B,229.86,287.32,Nasdaq 100
BBBY,Bed Bath & Beyond,Consumer Discretionary,,,,Nasdaq 100
BMS,Bemis Company,Materials,,,,Nasdaq 100
BRK.B,Berkshire Hathaway,Financials,,,,Nasdaq 100
BBY,Best Buy Co. Inc.,Consumer Discretionary,16.8B,62.30,86.11,Nasdaq 100
BIG,Big Lots Inc.,Consumer Discretionary,100.797M,3.4200,11.0600,Nasdaq 100
BIIB,BIOGEN IDEC Inc.,Health Care,28.808B,197.78,319.76,Nasdaq 100
BLK,BlackRock,Financials,113.563B,596.18,845.00,Nasdaq 100
HRB,Block H&R,Consumer Discretionary,,,,Nasdaq 100
BMC,BMC Software,Information Technology,,,,Nasdaq 100
BA,Boeing Company,Industrials,103.961B,169.37,267.54,Nasdaq 100
BWA,BorgWarner,Consumer Discretionary,,,,Nasdaq 100
BXP,Boston Properties,Financials,9.516B,46.80,73.97,Nasdaq 100
BSX,Boston Scientific,Health Care,100.056B,48.35,69.21,Nasdaq 100
BMY,Bristol-Myers Squibb,Health Care,97.852B,47.58,70.94,Nasdaq 100
BRCM,Broadcom Corporation,Information Technology,,,,Nasdaq 100
BF.B,Brown-Forman Corporation,Consumer Staples,,,,Nasdaq 100
CHRW,C. H. Robinson Worldwide,Industrials,8.155B,69.11,106.14,Nasdaq 100
CA,"CA, Inc.",Information Technology,,,,Nasdaq 100
CVC,Cablevision Systems Corp.,Consumer Discretionary,,,,Nasdaq 100
COG,Cabot Oil & Gas,Energy,,,,Nasdaq 100
CAM,Cameron International Corp.,Energy,,,,Nasdaq 100
