Date,Open,High,Low,Close,Adj Close,Volume
2022-04-18,303.000000,306.290009,298.720001,300.209991,284.929504,3192400
2022-04-19,300.609985,308.130005,299.809998,307.799988,292.133179,3389700
2022-04-20,311.000000,316.100006,309.750000,315.140015,299.099548,4720800
2022-04-21,317.000000,318.399994,309.739990,310.359985,294.562866,3014200
2022-04-22,309.820007,309.820007,299.779999,300.109985,284.834564,4043200
2022-04-25,300.000000,305.160004,296.269989,304.940002,289.418762,4396900
2022-04-26,302.250000,307.559998,299.720001,299.959991,284.692230,3415200
2022-04-27,301.299988,306.420013,299.119995,301.600006,286.248749,3446200
2022-04-28,304.750000,314.540009,303.010010,311.760010,295.891632,4149500
2022-04-29,308.149994,311.720001,299.709991,300.399994,285.109833,4878200
2022-05-02,301.989990,308.790009,299.910004,306.970001,291.345398,4233900
2022-05-03,305.690002,309.000000,303.019989,304.959991,289.437714,3336600
2022-05-04,304.079987,315.750000,302.929993,315.309998,299.260895,4021300
2022-05-05,311.000000,311.359985,293.709991,299.109985,283.885437,4959600
2022-05-06,296.299988,296.750000,289.410004,294.309998,279.329773,4325300
2022-05-09,290.279999,300.739990,288.500000,297.029999,281.911346,5243600
2022-05-10,298.459991,301.070007,287.660004,291.160004,276.340118,4392900
2022-05-11,291.450012,293.329987,282.570007,282.959991,268.557495,3880500
2022-05-12,281.570007,293.179993,280.630005,289.690002,274.944916,4447700
2022-05-13,289.950012,299.420013,288.450012,296.029999,280.962189,3949100
2022-05-16,294.079987,299.570007,289.790009,295.989990,280.924255,4267900
2022-05-17,306.500000,310.940002,290.899994,300.950012,285.631836,12425900
2022-05-18,293.000000,295.440002,281.179993,285.179993,270.664459,7799500
2022-05-19,285.500000,292.500000,284.959991,287.760010,273.113220,5211500
2022-05-20,289.820007,290.500000,279.589996,287.190002,272.572205,5621800
2022-05-23,289.089996,290.339996,280.320007,286.029999,271.471252,4305600
2022-05-24,284.000000,289.320007,280.649994,287.920013,273.265015,4241900
2022-05-25,285.809998,295.489990,285.660004,293.570007,278.627472,4612900
2022-05-26,297.320007,305.630005,297.000000,302.809998,287.397156,4170800
2022-05-27,303.540009,308.500000,301.600006,308.459991,292.759583,3899300
2022-05-31,306.600006,307.869995,300.829987,302.750000,287.340179,5966600
2022-06-01,301.739990,302.980011,297.029999,297.190002,283.844574,3080800
2022-06-02,298.809998,306.029999,295.890015,305.869995,292.134796,4086400
2022-06-03,303.329987,308.459991,301.899994,305.079987,291.380188,2956600
2022-06-06,305.559998,307.609985,303.250000,303.890015,290.243652,2562000
2022-06-07,295.059998,302.380005,292.600006,301.769989,288.218872,3547800
2022-06-08,299.779999,300.579987,295.679993,297.529999,284.169281,3003100
2022-06-09,297.760010,306.880005,297.350006,299.859985,286.394623,4168400
2022-06-10,291.500000,296.500000,288.640015,289.239990,276.251526,4623900
